bug_id,title,description,error_type,stack_trace,severity,priority,component,root_cause,resolution,status,technologies
BUG-011,"JSON Parsing Failure","Application fails when an external service returns an unexpected JSON field format.","JsonProcessingException","PaymentClient.parseResponse(PaymentClient.java:134)","HIGH","P1","Payment Service","External API response format changed without corresponding parser updates.","Updated JSON mapping and added validation for external responses.","RESOLVED","Java,Spring Boot,REST"
BUG-012,"Race Condition in Inventory","Two users can purchase the final available unit of a product.","OptimisticLockingFailureException","InventoryService.reserve(InventoryService.java:177)","CRITICAL","P0","Inventory Service","Concurrent requests updated inventory without proper locking.","Added optimistic locking and retry handling for concurrent updates.","RESOLVED","Java,Spring Boot,PostgreSQL"
BUG-013,"Email Notification Failure","Order confirmation emails are not sent for some completed orders.","MailSendException","NotificationService.sendOrderConfirmation(NotificationService.java:102)","MEDIUM","P2","Notification Service","Email service failures were not retried and temporary provider errors caused message loss.","Added retry logic and asynchronous message processing.","RESOLVED","Java,Spring Boot,SMTP"
BUG-014,"Incorrect Date Format","The frontend displays incorrect dates for users in different time zones.","DateTimeException","OrderMapper.mapDate(OrderMapper.java:66)","MEDIUM","P2","Order Service","Server-local time was used instead of a standardized timezone-aware format.","Converted timestamps to UTC and standardized API date formatting.","RESOLVED","Java,Spring Boot,REST"
BUG-015,"Cache Returning Stale Data","Users continue seeing old product prices after a price update.","StaleDataException","ProductCache.getProduct(ProductCache.java:82)","MEDIUM","P2","Product Service","Cache entries were not invalidated after product updates.","Added cache invalidation when product data changes.","RESOLVED","Java,Spring Boot,Redis"
BUG-016,"Service Unavailable During Traffic Spike","Backend service becomes unavailable when request volume suddenly increases.","ServiceUnavailableException","ApiGateway.routeRequest(ApiGateway.java:145)","CRITICAL","P0","API Gateway","Service instances were insufficient and no effective rate limiting was configured.","Scaled service instances, enabled rate limiting, and configured autoscaling.","RESOLVED","Java,Spring Boot,AWS"
BUG-017,"NullPointerException in User Preferences","Application crashes when a new user opens notification preferences.","NullPointerException","PreferenceService.getPreferences(PreferenceService.java:119)","HIGH","P1","User Service","Preference object was not initialized for newly created users.","Added default preference initialization and null handling.","RESOLVED","Java,Spring Boot"
BUG-018,"Unauthorized API Access","A user can access another user's order by modifying the order ID in the request.","AccessDeniedException","OrderController.getOrder(OrderController.java:93)","CRITICAL","P0","Order Service","Authorization checked authentication but did not verify resource ownership.","Added ownership validation before returning order information.","RESOLVED","Java,Spring Security,REST"
BUG-019,"Background Job Failure","Scheduled invoice generation stops processing after one invoice fails.","JobExecutionException","InvoiceJob.process(InvoiceJob.java:128)","HIGH","P1","Invoice Service","An unhandled exception terminated the complete batch job.","Added per-record exception handling and retry logic so remaining invoices continue processing.","RESOLVED","Java,Spring Boot"
BUG-020,"Configuration Value Missing","Application fails during startup because a required database configuration value is missing.","ConfigurationException","DatabaseConfig.initialize(DatabaseConfig.java:45)","CRITICAL","P0","Configuration","Required configuration properties were not validated before application startup.","Added configuration validation with clear startup error messages.","RESOLVED","Java,Spring Boot"
